vehicle emissions	vmt	fuel mix	
high	very high	high emission	0.7
high	very high	low emission	0.5
high	high	high emission	0.65
high	high	low emission	0.4
high	moderate	high emission	0.5
high	moderate	low emission	0.3
high	low	high emission	0.25
high	low	low emission	0.1
moderate	very high	high emission	0.25
moderate	very high	low emission	0.4
moderate	high	high emission	0.3
moderate	high	low emission	0.5
moderate	moderate	high emission	0.4
moderate	moderate	low emission	0.5
moderate	low	high emission	0.5
moderate	low	low emission	0.3
low	very high	high emission	0.05
low	very high	low emission	0.1
low	high	high emission	0.05
low	high	low emission	0.1
low	moderate	high emission	0.1
low	moderate	low emission	0.2
low	low	high emission	0.25
low	low	low emission	0.6
